ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),YYYY-MO-DD HH-MI-SS_SSS
2.4265,-7.7513,-20.2024,1.6664,-7.1836,-6.4645,4.2264,0.718,1.8245,-0.9373,-0.0019,-0.2599,0,-20.6,-1.17,34.08,202.48,47.1,-165.55,2021-03-19 12:20:15:375
5.4587,-1.802,-20.1593,1.4326,-7.1441,-6.5635,1.4381,4.6464,-6.3651,1.5901,-1.5514,0.6133,0,-19.76,2.77,31.72,197.27,42.93,-158.94,2021-03-19 12:20:15:875
0.9554,-11.4993,-10.1065,2.1807,-6.9001,-6.6184,-2.994,1.8217,3.279,0.0969,1.0408,-1.5885,0,-24.74,3.14,24.52,218.41,44.72,-161.76,2021-03-19 12:20:16:375
-8.1051,2.0597,-28.4836,1.9864,-6.6084,-6.968,-0.022,-3.8715,5.2836,-0.0229,-0.4708,-2.4178,0,-29.66,6.59,24.29,234.44,42.37,-164.09,2021-03-19 12:20:16:876
15.9364,-10.8768,-17.1092,3.0039,-6.8887,-6.3003,3.2254,0.2061,-4.3353,0.3006,-0.37,0.6206,0,-27.27,5.68,22.09,219.87,44.62,-154.51,2021-03-19 12:20:17:374
-13.3446,1.0913,-1.0927,2.2227,-6.7407,-6.767,-4.3935,2.1299,2.2801,-0.3194,0.3337,-0.0385,0,-24.85,1.85,29.26,212.46,44.17,-161.89,2021-03-19 12:20:17:874
11.9898,-8.9125,-6.465,2.0116,-6.9452,-6.6249,2.1274,1.1917,-0.3155,0.0788,-0.6974,-0.0363,0,-20.65,12.28,28.71,215.79,44.52,-162.06,2021-03-19 12:20:18:374
4.7165,-6.5339,-6.3693,2.0615,-6.5,-7.0477,2.6096,0.0539,2.9273,-0.003,-0.0169,0.2343,0,-24.53,10.65,27.66,228.59,41.51,-163.7,2021-03-19 12:20:18:874
3.0299,-5.6445,-6.2424,2.1364,-6.655,-6.8788,2.1484,0.54,-0.6099,-0.2052,0.0298,-0.2981,0,-24.76,10,31.16,219.55,42.74,-162.75,2021-03-19 12:20:19:375
0.9422,-5.6876,-8.4486,2.3091,-5.6896,-7.6464,2.4546,-0.3083,0.2139,-0.1866,0.269,0.2334,0,-19.65,10.87,27.44,228.46,37.55,-164.02,2021-03-19 12:20:19:875
1.038,-4.7851,-7.1593,1.9659,-6.5328,-7.0447,0.4577,-0.4372,0.5198,-0.0397,0.0399,-0.2911,0,-26.13,17.79,6.79,280.46,41.77,-164.41,2021-03-19 12:20:20:375
-6.7369,-3.4049,-10.3567,1.7989,-4.6555,-8.4416,1.2169,-3.6832,1.4238,-0.2956,-0.0871,0.788,0,-45.15,23.73,20.64,279.9,28.34,-167.97,2021-03-19 12:20:20:875
8.0778,-8.7485,-6.8301,2.2469,-6.0712,-7.3663,-1.0263,-0.6518,4.1125,0.5889,-0.9958,0.0977,0,-41.47,14.2,27.44,248.41,38.25,-163.04,2021-03-19 12:20:21:374
8.7063,-10.562,-10.9947,2.8869,-5.647,-7.4798,0.9191,-1.5064,1.2006,-0.3115,0.4513,0.7786,0,-37.18,18.61,19.07,265.16,35.16,-158.9,2021-03-19 12:20:21:876
-4.7234,-1.4249,-4.3223,4.6862,-7.51,-4.2201,-2.5666,1.5152,-3.8647,1.2981,0.3872,-0.2498,0,-39.98,21,6.57,239.22,49.98,-132,2021-03-19 12:20:22:374
9.5526,-7.6281,-1.5655,4.9044,-7.2379,-4.442,-4.1233,1.8958,-2.366,-0.6783,0.0931,-0.3693,0,-36.49,13.47,-1.46,247.29,47.57,-132.17,2021-03-19 12:20:22:874
4.9248,-4.7922,-9.2901,4.4789,-7.7155,-4.0719,-0.6934,1.1588,-3.4989,0.6408,-0.9921,-0.3427,0,-36.86,15.96,2.52,239.69,51.88,-132.28,2021-03-19 12:20:23:374
5.7771,-9.4332,-3.7453,4.7189,-7.7939,-3.6274,-0.0131,0.0379,-2.041,0.4014,-0.6412,-0.1194,0,-38.99,15.17,12.42,212.49,52.78,-126.74,2021-03-19 12:20:23:874
3.9348,-6.9637,-7.8644,4.2718,-7.5667,-4.5462,-0.9686,0.6878,-2.2671,0.3003,-0.3568,0.0144,2.1352,-30.49,17.56,22.09,202.06,50.5,-136.78,2021-03-19 12:20:24:375
-0.7037,-3.2852,-11.0916,4.1172,-7.1715,-5.2715,0.4341,-0.2128,-0.0858,-0.1142,1.0072,0.3042,2.1352,-26.42,8.52,24.78,194.33,46.99,-142.01,2021-03-19 12:20:24:874
4.3179,-7.4066,-3.5215,3.7177,-7.0322,-5.7356,-0.0732,-0.6438,2.565,0.0706,-0.4967,0.0018,2.1352,-22.07,8.58,31.67,182.8,45.81,-147.05,2021-03-19 12:20:25:375
5.9626,-8.8646,-5.2441,3.644,-7.221,-5.5451,0.6651,-0.1376,1.2846,-0.0974,-0.8058,-0.2181,2.1352,-19.93,9.05,31.89,177.73,47.42,-146.69,2021-03-19 12:20:25:875
4.0366,-7.2917,-4.4025,3.3423,-7.1661,-5.8005,3.1156,-0.2366,1.3778,-0.1206,0.2885,0.2382,2.1352,-14.77,9.2,34.03,169.2,46.95,-150.05,2021-03-19 12:20:26:374
1.8723,-5.064,-6.2149,3.0358,-6.2802,-6.893,1.3475,-0.1831,0.8799,-0.2141,0.0634,0.2346,2.1352,-10.73,6.45,39.06,164.99,39.82,-156.23,2021-03-19 12:20:26:874
3.6248,-5.8145,-9.9293,3.0147,-6.4904,-6.705,-1.6738,-1.0873,-0.2532,0.3983,0.1477,-0.0721,2.1352,-18.75,4.25,42.23,180.22,41.44,-155.79,2021-03-19 12:20:27:374
